ch,gOSNR,OSNR
20,26.624884,27.640425
22,29.396672,29.756514
24,26.621310,27.635910
26,26.619524,27.633655
28,26.617739,27.631400
30,29.388368,29.747494
32,26.614171,27.626895
34,26.612388,27.624644
36,26.610606,27.622394
38,29.380081,29.738493
40,29.378011,29.736246
42,29.375943,29.734000
44,26.603484,27.613406
46,29.371809,29.729511
48,26.599928,27.608919
50,26.598151,27.606677
52,26.596375,27.604437
54,29.363553,29.720547
56,29.361492,29.718309
58,29.359431,29.716072
60,26.589277,27.595486
62,26.587504,27.593251
64,29.353255,29.709368
66,29.351199,29.707135
68,26.582190,27.586554
70,26.580420,27.584324
72,29.345034,29.700445
74,26.576883,27.579867
76,29.340930,29.695991
78,26.573348,27.575414
80,29.336829,29.691541
82,29.334780,29.689318
84,29.332732,29.687095
86,29.330685,29.684874
88,29.328639,29.682655
90,29.326594,29.680436
2,26.134000,28.923603
4,26.132806,28.921334
6,26.131613,28.919067
8,26.130420,28.916801
10,26.129228,28.914536
12,26.128035,28.912272
14,26.126843,28.910009
16,26.125652,28.907748
18,26.124461,28.905487
20,26.123270,28.903228
22,26.122079,28.900970
24,26.120889,28.898714
26,26.119699,28.896458
28,26.118509,28.894204
30,26.117320,28.891950
32,26.116131,28.889698
34,26.114942,28.887447
36,26.113754,28.885198
38,26.112566,28.882949
40,26.111378,28.880702
42,26.110191,28.878455
44,26.109004,28.876210
46,26.107817,28.873966
48,26.106631,28.871724
50,26.105445,28.869482
52,26.104259,28.867241
54,26.103074,28.865002
56,26.101888,28.862764
58,26.100704,28.860527
60,26.099519,28.858291
62,26.098335,28.856056
64,26.097151,28.853823
66,26.095968,28.851590
68,26.094785,28.849359
70,26.093602,28.847129
72,26.092419,28.844900
74,26.091237,28.842672
76,26.090055,28.840446
78,26.088874,28.838220
80,26.087693,28.835996
82,26.086512,28.833772
84,26.085331,28.831550
86,26.084151,28.829329
88,26.082971,28.827109
90,26.081791,28.824891
